第一辑 新歌集,#genre#
相约 1998,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/01_.1998.mp4
想和你去吹吹风,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/02_.mp4
好汉歌,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/03_.mp4
心太软,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/04_.mp4
姊妹,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/05_.mp4
青藏高原,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/06_.mp4
很受伤,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/07_.mp4
健康歌,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/08_.mp4
快乐老家,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/09_.mp4
中国人,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/10_.mp4
为你,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/11_.mp4
棋子,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/12_.mp4
味道,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/13_.mp4
幸福快车,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/14_.mp4
流浪歌,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/15_.mp4
第二辑 名歌集,#genre#
真的好想你,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/16_.mp4
偏偏喜欢你,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/17_.mp4
朋友,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/18_.mp4
别问我是谁,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/19_.mp4
把悲伤留给自己,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/20_.mp4
潮湿的心,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/21_.mp4
用心良苦,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/22_.mp4
风雨无阻,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/23_.mp4
容易受伤的女人,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/24_.mp4
轻轻地告诉你,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/25_.mp4
冬季到台北来看雨,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/26_.mp4
好人一生平安,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/27_.mp4
长相依,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/28_.mp4
山不转水转,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/29_.mp4
风中有朵雨做的云,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/30_.mp4
第三辑 对唱集,#genre#
明明白白我的心,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/31_.mp4
选择,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/32_.mp4
祈祷,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/33_.mp4
让我悄悄蒙上你的眼睛,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/34_.mp4
在雨中,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/35_.mp4
东方之珠,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/36_.mp4
迟来的爱,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/37_.mp4
无言的结局,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/38_.mp4
萍聚,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/39_.mp4
相思风雨中,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/40_.mp4
想你的时候,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/41_.mp4
慢慢地陪着你走,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/42_.mp4
心会跟爱一起走,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/43_.mp4
在我生命中的每一天,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/44_.mp4
夫妻双双把家还,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/45_.mp4
第四辑 民歌集,#genre#
绿岛小夜曲,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/46_.mp4
春天的故事,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/47_.mp4
康定情歌,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/48_.mp4
我爱你塞北的雪,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/49_.mp4
敖包相会,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/50_.mp4
父老乡亲,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/51_.mp4
珠穆朗玛,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/52_.mp4
南泥湾,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/53_.mp4
月亮代表我的心,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/54_.mp4
北国之春,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/55_.mp4
莫斯科郊外的晚上,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/56_.mp4
三套车,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/57_.mp4
红河谷,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/58_.mp4
红梅花儿开,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/59_.mp4
四季歌,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/60_.mp4
第五辑 荟萃集,#genre#
爱拼才会赢,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/61_.mp4
车站,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/62_.mp4
浪子的心情,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/63_.mp4
晚秋,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/64_.mp4
飘雪,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/65_.mp4
千千阙歌,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/66_.mp4
智斗,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/67_.mp4
甘洒热血写春秋,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/68_.mp4
小城故事,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/69_.mp4
泪的小雨,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/70_.mp4
Say You Say Me,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/71_Say_You_Say_Me.mp4
Rhythm Of The Rain,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/72_Rhythm_Of_The_Rain.mp4
98 法国世界杯足球赛主题曲 (欣赏版),https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2/73_98._._.mp4
