第一辑 风光音乐,#genre#
二泉映月,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD1/xxjqsvcd1.1.mp4
高山流水,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD1/xxjqsvcd1.2.mp4
渔舟唱晚,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD1/xxjqsvcd1.3.mp4
红楼梦,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD1/xxjqsvcd1.4.mp4
空山鸟语,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD1/xxjqsvcd1.5.mp4
大浪淘沙,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD1/xxjqsvcd1.6.mp4
昭君出塞,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD1/xxjqsvcd1.7.mp4
第二辑 龙翔凤舞,#genre#
月亮代表我的心,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD2/xxjqsvcd2.1.mp4
花儿为什么这样红,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD2/xxjqsvcd2.2.mp4
哭砂,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD2/xxjqsvcd2.3.mp4
彩云追月,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD2/xxjqsvcd2.4.mp4
北国之春,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD2/xxjqsvcd2.5.mp4
红河谷,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD2/xxjqsvcd2.6.mp4
巴比伦河,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD2/xxjqsvcd2.7.mp4
第三辑 港台新歌,#genre#
站在高岗上,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD3/xxjqsvcd3.1.mp4
DI DA DI,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD3/xxjqsvcd3.2.mp4
浪人情歌,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD3/xxjqsvcd3.3.mp4
相思无用,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD3/xxjqsvcd3.4.mp4
女人缘,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD3/xxjqsvcd3.5.mp4
真心英雄,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD3/xxjqsvcd3.6.mp4
妙、妙、妙、,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD3/xxjqsvcd3.7.mp4
世界第一等,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD3/xxjqsvcd3.8.mp4
第四辑 大陆原创,#genre#
好日子,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD4/xxjqsvcd4.1.mp4
飞天,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD4/xxjqsvcd4.2.mp4
霸王别姬,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD4/xxjqsvcd4.3.mp4
征服,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD4/xxjqsvcd4.4.mp4
我的眼里只有你,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD4/xxjqsvcd4.5.mp4
真的好想你,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD4/xxjqsvcd4.6.mp4
好人好梦,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD4/xxjqsvcd4.7.mp4
回到拉萨,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD4/xxjqsvcd4.8.mp4
第五辑 经典名曲,#genre#
长城长,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD5/xxjqsvcd5.1.mp4
小城故事,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD5/xxjqsvcd5.2.mp4
吻别,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD5/xxjqsvcd5.3.mp4
寂寞让我如此美丽,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD5/xxjqsvcd5.4.mp4
一帘幽梦,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD5/xxjqsvcd5.5.mp4
花心,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD5/xxjqsvcd5.6.mp4
心会跟爱一起走,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD5/xxjqsvcd5.7.mp4
爱无止尽,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0%E9%87%91%E6%9B%B2SVCD5/xxjqsvcd5.8.mp4
