第一辑,#genre#
风中有朵雨做的云,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV/xxjqmtv1-1.mp4
女孩的心思你别猜,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV/xxjqmtv1-2.mp4
愁雨,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV/xxjqmtv1-3.mp4
快乐老家,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV/xxjqmtv1-4.mp4
九妹,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV/xxjqmtv1-5.mp4
桃花岛,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV/xxjqmtv1-6.mp4
阿莲,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV/xxjqmtv1-7.mp4
孩子他爸,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV/xxjqmtv1-8.mp4
古老的故事,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV/xxjqmtv1-9.mp4
冰糖葫芦,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV/xxjqmtv1-10.mp4
美人,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV/xxjqmtv1-11.mp4
九九女儿红,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV/xxjqmtv1-12.mp4
对你的爱越深就越心痛,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV/xxjqmtv1-13.mp4
第二辑,#genre#
真的还是假的,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV2/xxjqmtv2-1.mp4
你那里下雪了吗,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV2/xxjqmtv2-2.mp4
傻妹妹,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV2/xxjqmtv2-3.mp4
别误会,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV2/xxjqmtv2-4.mp4
纸飞机,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV2/xxjqmtv2-5.mp4
前门情思大碗茶,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV2/xxjqmtv2-6.mp4
拥抱明天,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV2/xxjqmtv2-7.mp4
黄河源头,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV2/xxjqmtv2-8.mp4
这一次我是真的留下来陪你,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV2/xxjqmtv2-9.mp4
花期何时来,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV2/xxjqmtv2-10.mp4
红花红颜,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV2/xxjqmtv2-11.mp4
青藏高原,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV2/xxjqmtv2-12.mp4
我的未来你放心吗,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV2/xxjqmtv2-13.mp4
第三辑,#genre#
没有情人的情人节,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV3/xxjqmtv3-1.mp4
别问我是谁,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV3/xxjqmtv3-2.mp4
随风舞动,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV3/xxjqmtv3-3.mp4
再牵你的手,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV3/xxjqmtv3-4.mp4
小桃红,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV3/xxjqmtv3-5.mp4
雨巷,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV3/xxjqmtv3-6.mp4
笑脸,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV3/xxjqmtv3-7.mp4
一个无法等到的人,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV3/xxjqmtv3-8.mp4
大花轿,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV3/xxjqmtv3-9.mp4
月满西楼,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV3/xxjqmtv3-10.mp4
一生离不开的是你,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV3/xxjqmtv3-11.mp4
亲亲茉莉花,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV3/xxjqmtv3-12.mp4
小放牛,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV3/xxjqmtv3-13.mp4
第四辑,#genre#
在那遥远的地方,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-1.mp4
小河淌水,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-2.mp4
北风吹,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-3.mp4
浏阳河,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-4.mp4
大拜年,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-5.mp4
教我如何不想他,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-6.mp4
跑旱船,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-7.mp4
草原之夜,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-8.mp4
阿细跳月,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-9.mp4
唱支山歌给党听,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-10.mp4
秋水伊人,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-11.mp4
蝴蝶泉边,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-12.mp4
达坂城的姑娘,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-13.mp4
南泥湾,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-14.mp4
草原上升起不落的太阳,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV4/xxjqmtv4-15.mp4
第五辑,#genre#
月亮船,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV5/xxjqmtv5-1.mp4
往日的旧梦,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV5/xxjqmtv5-2.mp4
新郎与新娘,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV5/xxjqmtv5-3.mp4
驼铃,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV5/xxjqmtv5-4.mp4
康定情歌,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV5/xxjqmtv5-5.mp4
祝你平安,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV5/xxjqmtv5-6.mp4
飞天,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV5/xxjqmtv5-7.mp4
霸王别姬,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV5/xxjqmtv5-8.mp4
偷一个月亮照亮天,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV5/xxjqmtv5-9.mp4
长江之歌,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV5/xxjqmtv5-10.mp4
好人一生平安,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV5/xxjqmtv5-11.mp4
为你,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV5/xxjqmtv5-12.mp4
天不刮风天不下雨天上有太阳,https://mirror.ghproxy.com/https://github.com/owen2000wy/owentv/releases/download/%E5%8E%A6%E6%96%B0MTV5/xxjqmtv5-13.mp4
